D0	G2
D1	G136
D1	G83
D1	G95
D1	G108
D1	G5
D1	G32
D1	G3
D2	G145
D2	G103
D2	G85
D3	G114
D4	G145
D4	G25
D4	G140
D4	G132
D4	G130
D4	G44
D5	G145
D6	G28
D6	G30
D6	G29
D6	G115
D6	G116
D7	G31
D8	G136
D8	G55
D8	G151
D8	G122
D8	G108
D8	G5
D8	G19
D8	G133
D8	G125
D8	G146
D8	G105
D8	G33
D8	G137
D8	G10
D8	G45
D8	G60
D8	G62
D9	G15
D11	G96
D11	G12
D11	G23
D11	G88
D11	G103
D11	G32
D11	G7
D11	G3
D11	G76
D12	G83
D12	G43
D13	G136
D13	G5
D13	G123
D13	G13
D14	G114
D15	G136
D15	G5
D15	G63
D16	G136
D16	G148
D16	G37
D16	G95
D16	G5
D16	G19
D16	G78
D16	G63
D18	G136
D18	G145
D18	G110
D18	G95
D18	G108
D18	G5
D18	G19
D18	G12
D18	G88
D18	G86
D18	G103
D18	G32
D18	G97
D18	G82
D18	G77
D18	G100
D18	G102
D18	G3
D18	G85
D18	G76
D18	G92
D19	G94
D19	G93
D20	G145
D20	G25
D20	G140
D20	G132
D20	G130
D20	G44
D21	G5
D21	G123
D21	G88
D21	G103
D21	G25
D21	G27
D21	G40
D21	G76
D22	G66
D22	G35
D22	G72
D22	G11
D22	G48
D22	G36
D22	G46
D22	G52
D22	G51
D22	G49
D23	G136
D23	G110
D23	G5
D23	G123
D23	G25
D23	G114
D23	G33
D23	G27
D23	G40
